,Account Code,Latitude,Longitude
Cigna,30284.1,43.07176295,-72.36339212
Rite Aid,11897.1,42.81859887,-73.15524267
Comcast,34932.1,44.9451238,-68.02107176
General Electric,60856.1,43.01443159,-71.68426271
Sunoco,13644.1,44.51163465,-71.46815661
Aramark,97020.1,43.57289647,-72.30777132
UGI,103.1,46.24420849,-70.13403043
Aetna,31150.1,43.85904381,-71.90850488
United Technologies,14882.1,47.00246211,-68.70379501
Xerox,187.1,43.9918103,-70.907181
Terex,202.1,44.12122756,-69.39943567
American Seating Company,752.1,30.58009232,-97.09718442
Liberty Mutual,85201.1,44.97732573,-68.2954482
Raytheon,66.1,44.14703408,-73.19706731
Boston Scientific,20076.1,47.01047217,-68.03971213
CVS,40247.1,44.83069483,-71.33577588
Textron,14020.1,44.50718775,-69.98742716
JP Morgan,243.1,44.82535044,-72.4052527
Citigroup,30561.1,44.06094382,-72.89379901
MetLife,93862.1,44.32882533,-72.87967003
Pfizer,11091.1,45.83957294,-68.29258665
Johnson & Johnson,78632.1,45.30924551,-68.24338118
Merck,481.1,43.53455495,-70.52241595
Honeywell,71119.1,44.67634948,-69.17063275
Prudential,54482862.1,45.35447155,-70.60181783
Zerto,56600093.1,46.00050791,-69.782302
Year Up,16055.1,46.1812939,-68.8905115
Xcoal Energy & Resources,16020.1,44.76573486,-69.56765975
William Pitt,15837.1,44.7188728,-68.97965587
Westmoreland County Community College,15755.1,46.91084061,-69.23496507
Wellington Management Company,15635.1,43.87338889,-72.64351013
Wayne J. Griffin Electric,15573.1,45.99945973,-70.08272723
Voice Systems Engineering,15397.1,47.09084044,-69.61371809
Vocollect,15396.1,46.55480669,-69.23739775
Virtusa,15351.1,44.25570408,-72.23696678
Villanova University,15322.1,45.24948478,-68.62886751
Veolia Energy North America,15240.1,43.66765488,-72.06610555
Vector Security,15219.1,44.47642916,-70.21847515
Vanasse Hangen Brustlin,15192.1,45.951596,-69.65883731
Utz Quality Foods,15145.1,44.1814019,-71.88670049
Upper Allegheny Health System,15066.1,43.50259509,-70.43042837
UPMC Altoona,15064.1,45.72137815,-70.01553371
Unilife,14803.1,43.55270254,-72.8324731
Tudor Investment Corporation,14676.1,46.01477079,-69.74262876
Trinity College,14596.1,44.22909916,-72.1355874
Titusville Area Hospital,14397.1,46.55582502,-69.97586385
Titeflex,14394.1,45.11634378,-70.79795774
Thomaston Savings Bank,14330.1,43.45880476,-72.34407402
The Vermont Teddy Bear Company,14279.1,45.05160527,-70.84276629
The United Illuminating Company,14273.1,45.84382523,-67.81176836
The O'Connell Companies,14211.1,43.06001817,-71.97120785
The MENTOR Network,14188.1,43.90992215,-72.26029075
The First Bancorp,14120.1,46.71270767,-68.3984204
The Cooperative Bank of Cape Cod,14094.1,45.99228064,-69.3257598
The Boston Celtics,14058.1,43.3395554,-71.84349411
Synygy,13772.1,47.01681597,-68.8092796
Susquehanna International Group,13708.1,45.93568306,-67.85241969
Survey Sampling International,13703.1,43.57842442,-71.1712385
Summit Partners,13602.1,44.26374014,-69.85526916
STV Group,13563.1,47.01010531,-69.60606769
Stew Leonard's,13484.1,46.4192622,-68.69225936
Steinway & Sons,13457.1,44.95720942,-70.7652425
Steffian Bradley Architects,13453.1,46.74549896,-68.23016956
Steen Outdoor Advertising,13451.1,42.73150197,-71.14456429
Starwood Capital Group,13210.1,44.58118134,-67.69138229
Standard Life Investments (USA) Limited,13170.1,43.84401669,-70.33755477
Stamford Hospital,13160.1,42.75079296,-72.71759278
